Team Names,Maps,Maps,Maps,Atk Rounds,Atk Rounds,Atk Rounds,Def Rounds,Def Rounds,Def Rounds,Pistol Rounds,Pistol Rounds,Pistol Rounds
Team,Played,Won,Won %,Played,Won,Won %,Played,Won,Won %,Played,Won,Won %
XSET,43,36,83.72%,431,265,61.48%,426,274,64.32%,86,49,56.98%
LDN Utd,39,32,82.05%,351,228,64.96%,410,249,60.73%,78,48,61.54%
Version1,38,31,81.58%,347,221,63.69%,396,259,65.4%,76,50,65.79%
FunPlus Phoenix,26,21,80.77%,258,175,67.83%,231,143,61.9%,52,37,71.15%
BIG,43,34,79.07%,470,290,61.7%,425,248,58.35%,86,55,63.95%
Akrew,104,82,78.85%,973,570,58.58%,1087,683,62.83%,206,127,61.65%
NRG Esports,62,48,77.42%,593,303,51.1%,654,426,65.14%,124,70,56.45%
EXCEL,44,34,77.27%,446,257,57.62%,387,265,68.48%,88,53,60.23%
Botafogo eSports,37,28,75.68%,364,207,56.87%,377,222,58.89%,74,44,59.46%
The Guard,55,41,74.55%,538,304,56.51%,582,355,61%,110,69,62.73%
Surreal Esports,66,49,74.24%,676,400,59.17%,692,391,56.5%,130,82,63.08%
B4 eSports,29,21,72.41%,279,144,51.61%,305,179,58.69%,58,34,58.62%
Rise,35,25,71.43%,338,176,52.07%,345,221,64.06%,70,42,60%
TSM FTX,32,22,68.75%,331,191,57.7%,334,192,57.49%,64,37,57.81%
CGN Esports,51,35,68.63%,541,327,60.44%,522,272,52.11%,102,59,57.84%
Alliance,41,28,68.29%,383,231,60.31%,435,238,54.71%,82,43,52.44%
Kansas City Pioneers,94,64,68.09%,921,513,55.7%,917,530,57.8%,180,103,57.22%
G2 Esports,31,21,67.74%,321,162,50.47%,306,198,64.71%,62,33,53.23%
Evil Geniuses,68,46,67.65%,716,391,54.61%,702,385,54.84%,132,74,56.06%
Team Aurora,46,31,67.39%,411,227,55.23%,431,281,65.2%,90,68,75.56%
Luminosity Gaming,55,37,67.27%,528,306,57.95%,571,330,57.79%,110,58,52.73%
Pittsburgh Knights,70,47,67.14%,702,395,56.27%,672,388,57.74%,136,77,56.62%
Fire Flux Esports,42,28,66.67%,442,255,57.69%,455,250,54.95%,84,50,59.52%
Built By Gamers,59,39,66.1%,606,328,54.13%,623,361,57.95%,118,64,54.24%
TSM FTX Academy,47,31,65.96%,439,258,58.77%,496,276,55.65%,94,60,63.83%
